Date,cluster,action,portfolio_return,transaction_cost,turnover,portfolio_nav
2015-03-31,2,rebound,0.0,0.0,0.0,100000.0
2015-04-01,2,rebound,0.004585849988881597,0.001,1.0,100458.58499888815
2015-04-02,2,rebound,-0.0019333278517049911,0.0,0.0,100264.36561856692
2015-04-06,2,rebound,0.004137585980732328,0.0,0.0,100679.21805211734
2015-04-07,2,rebound,0.00019797906385128346,0.0,0.0,100699.15042945658
2015-04-08,2,rebound,0.0006777895439850524,0.0,0.0,100767.40326070586
2015-04-09,2,rebound,-0.003063216189567963,0.0,0.0,100458.73091965694
2015-04-10,1,cautious,0.005436167209726773,0.0,0.0,101004.84137861314
2015-04-13,2,rebound,-0.0033484635670663395,0.0004,0.4,100666.63034715955
2015-04-14,1,cautious,0.0014668251322816908,0.0004,0.4,100814.2906905349
2015-04-15,1,cautious,0.0032048401966294996,0.0004,0.4,101137.3843817346
2015-04-16,1,cautious,-0.003115699173219644,0.0,0.0,100822.27071683486
2015-04-17,2,rebound,0.002621366387148394,0.0,0.0,101086.56282836794
2015-04-20,1,cautious,-1.1464496726616203e-06,0.0004,0.4,101086.44693771107
2015-04-21,1,cautious,-0.000842938418891248,0.0004,0.4,101001.23728795807
2015-04-22,2,rebound,-0.00866257844200341,0.0,0.0,100126.30614721174
2015-04-23,2,rebound,0.00360851067657817,0.0004,0.4,100487.61299195029
2015-04-24,1,cautious,0.0002230137053089716,0.0,0.0,100510.02310686128
2015-04-27,2,rebound,0.004403008829959754,0.0004,0.4,100952.56962610026
2015-04-28,2,rebound,-0.0012136131841248392,0.0004,0.4,100830.05225663075
2015-04-29,2,rebound,-0.007143752062537989,0.0,0.0,100109.74736285662
2015-04-30,2,rebound,-0.008017452120838355,0.0,0.0,99307.1222565457
2015-05-01,2,rebound,0.0006949734285645494,0.0,0.0,99376.13806778121
2015-05-04,2,rebound,0.00039711639437552994,0.0,0.0,99415.60196141765
2015-05-05,2,rebound,-0.005580210379093409,0.0,0.0,98860.84198750873
2015-05-06,2,rebound,-0.007299549900259816,0.0,0.0,98139.2023382392
2015-05-07,2,rebound,0.004381875652494283,0.0,0.0,98569.23611952034
2015-05-08,2,rebound,0.008363314344851113,0.0,0.0,99393.60162591975
2015-05-11,2,rebound,-0.010455818546172502,0.0,0.0,98354.36016266857
2015-05-12,2,rebound,0.0009911294370661295,0.0,0.0,98451.8420642896
2015-05-13,0,aggressive,0.0012728433987720502,0.0,0.0,98577.15584155808
2015-05-14,2,rebound,0.007978218945390437,0.00039999999999999996,0.39999999999999997,99363.62597387591
2015-05-15,2,rebound,0.006754477186148722,0.00039999999999999996,0.39999999999999997,100034.77531864948
2015-05-18,0,aggressive,-0.003497204482159599,0.0,0.0,99684.93325403327
2015-05-19,0,aggressive,-0.003790030430090573,0.00039999999999999996,0.39999999999999997,99307.12432357894
2015-05-20,0,aggressive,8.553808283606724e-06,0.0,0.0,99307.97377768162
2015-05-21,0,aggressive,0.004499903635464519,0.0,0.0,99754.85008991441
2015-05-22,0,aggressive,-0.0016669285892871976,0.0,0.0,99588.56587837948
2015-05-26,0,aggressive,-0.00556591436660927,0.0,0.0,99034.264448807
2015-05-27,2,rebound,0.007084124030731309,0.0,0.0,99735.8354614546
2015-05-28,2,rebound,-0.0014690918306650474,0.00039999999999999996,0.39999999999999997,99589.31436035362
2015-05-29,2,rebound,-0.002304467781153796,0.0,0.0,99359.81399406298
2015-06-01,0,aggressive,-0.002381347529825006,0.0,0.0,99123.20374644436
2015-06-02,2,rebound,-0.0034816701403161832,0.00039999999999999996,0.39999999999999997,98778.08944774789
2015-06-03,2,rebound,-0.005330843417284458,0.00039999999999999996,0.39999999999999997,98251.51891984342
2015-06-04,2,rebound,-0.001725429286090197,0.0,0.0,98081.99287169629
2015-06-05,0,aggressive,-0.00557410616016355,0.0,0.0,97535.27343102905
2015-06-08,0,aggressive,-0.00463154157948864,0.00039999999999999996,0.39999999999999997,97083.53475666646
2015-06-09,0,aggressive,-0.001462168408890252,0.0,0.0,96941.58227912187
2015-06-10,0,aggressive,0.00749589795098553,0.0,0.0,97668.24648709323
2015-06-11,0,aggressive,0.006006346967300735,0.0,0.0,98254.87586318258
2015-06-12,0,aggressive,-0.005384602349768574,0.0,0.0,97725.81242773347
2015-06-15,2,rebound,-0.002236210367725522,0.0,0.0,97507.27695278818
2015-06-16,2,rebound,0.003966386856356397,0.00039999999999999996,0.39999999999999997,97894.02853449283
2015-06-17,0,aggressive,-0.0005740730406556538,0.0,0.0,97837.83021187001
2015-06-18,0,aggressive,0.0071892537095956666,0.00039999999999999996,0.39999999999999997,98541.21119565949
2015-06-19,2,rebound,-0.0007124476503066248,0.0,0.0,98471.00574128477
2015-06-22,2,rebound,-0.0065316494926956565,0.00039999999999999996,0.39999999999999997,97827.82764658947
2015-06-23,2,rebound,-0.002766308486967539,0.0,0.0,97557.20569670912
2015-06-24,2,rebound,-0.0015754872175080094,0.0,0.0,97403.50556615816
2015-06-25,2,rebound,-0.0028383221517609527,0.0,0.0,97127.04303865056
2015-06-26,0,aggressive,-0.003254163252707076,0.0,0.0,96810.97578435008
2015-06-29,0,aggressive,-0.009332269631998265,0.00039999999999999996,0.39999999999999997,95907.50965499367
2015-06-30,2,rebound,-0.0005403783775445813,0.0,0.0,95855.68331053195
2015-07-01,2,rebound,-0.0011358448939425942,0.00039999999999999996,0.39999999999999997,95746.80612208831
2015-07-02,0,aggressive,0.00013518539721769636,0.0,0.0,95759.74969210627
2015-07-06,0,aggressive,0.0015832863168594449,0.00039999999999999996,0.39999999999999997,95911.36479349967
2015-07-07,2,rebound,0.005120874645042472,0.0,0.0,96402.51486964211
2015-07-08,2,rebound,-0.005601767641863787,0.00039999999999999996,0.39999999999999997,95862.49038125106
2015-07-09,2,rebound,-0.004520108497178943,0.0,0.0,95429.18152391801
2015-07-10,2,rebound,0.0017718966655639766,0.0,0.0,95598.27217245774
2015-07-13,2,rebound,0.0036909281926790433,0.0,0.0,95951.11853039048
2015-07-14,2,rebound,0.002703870104798711,0.0,0.0,96210.5578913068
2015-07-15,2,rebound,0.0019653083457126796,0.0,0.0,96399.64130367627
2015-07-16,2,rebound,0.005357733214720172,0.0,0.0,96916.12486377607
2015-07-17,2,rebound,-4.902839560134726e-05,0.0,0.0,96911.3732216661
2015-07-20,2,rebound,-0.006435033720525674,0.0,0.0,96287.74526708222
2015-07-21,2,rebound,-0.0009757752719055214,0.0,0.0,96193.79006626307
2015-07-22,2,rebound,-0.00011165335636048623,0.0,0.0,96183.04970674113
2015-07-23,2,rebound,2.5472684809801655e-05,0.0,0.0,96185.49974725037
2015-07-24,2,rebound,-0.0024874127711651986,0.0,0.0,95946.24670677815
2015-07-27,2,rebound,-0.002232458082449618,0.0,0.0,95732.0507328369
2015-07-28,2,rebound,0.004258723556702893,0.0,0.0,96139.7470724243
2015-07-29,2,rebound,0.0026112509407375086,0.0,0.0,96390.79207740944
2015-07-30,2,rebound,0.0007185354579972711,0.0,0.0,96460.0522793415
2015-07-31,2,rebound,0.002726644889597107,0.0,0.0,96723.06458793924
2015-08-03,2,rebound,-0.00011031091158904011,0.0,0.0,96712.39497851285
2015-08-04,2,rebound,-0.002953389338802936,0.0,0.0,96426.76562225321
2015-08-05,2,rebound,-0.0013326145994703052,0.0,0.0,96298.2659066053
2015-08-06,2,rebound,-0.0005452009758950549,0.0,0.0,96245.763998056
2015-08-07,2,rebound,0.0034733826431813334,0.0,0.0,96580.06236420659
2015-08-10,2,rebound,0.0046290590280449575,0.0,0.0,97027.13717382276
2015-08-11,2,rebound,0.0012737222183198838,0.0,0.0,97150.72279422103
2015-08-12,2,rebound,0.001768314530283677,0.0,0.0,97322.51582896561
2015-08-13,2,rebound,-0.0032413921249328627,0.0,0.0,97007.05539257893
2015-08-14,2,rebound,0.0025058627454418,0.0,0.0,97250.1417587322
2015-08-17,2,rebound,0.0046729537470826974,0.0,0.0,97704.587173068
2015-08-18,2,rebound,-0.003846759955237067,0.0,0.0,97328.74107968766
2015-08-19,2,rebound,0.0016984463282835203,0.0,0.0,97494.04872261091
2015-08-20,2,rebound,-0.003928639705821102,0.0,0.0,97111.029731718
2015-08-21,2,rebound,-0.012896990719459689,0.0,0.0,95858.58968251085
2015-08-24,2,rebound,-0.022228097531216306,0.0,0.0,93727.83560184315
2015-08-25,2,rebound,-0.013182395014473668,0.0,0.0,92492.278249088
2015-08-26,2,rebound,0.010676058266033807,0.0,0.0,93479.7312008335
2015-08-27,2,rebound,0.01265103007277628,0.0,0.0,94662.34609145028
2015-08-28,2,rebound,0.0027112787968015307,0.0,0.0,94919.00210326351
2015-08-31,2,rebound,-0.006123676730340433,0.0,0.0,94337.74881881663
2015-09-01,2,rebound,-0.012063670281778604,0.0,0.0,93199.68932194117
2015-09-02,2,rebound,0.005846696474398738,0.0,0.0,93744.59961691483
2015-09-03,2,rebound,0.000385286841426091,0.0,0.0,93780.71817760197
2015-09-04,2,rebound,-0.005478203675372473,0.0,0.0,93266.96830260237
2015-09-08,1,cautious,0.00819516811482316,0.0,0.0,94031.30678740208
2015-09-09,1,cautious,-0.006370515539863563,0.0004,0.4,93432.27888627925
2015-09-10,1,cautious,-0.00036160970681766715,0.0,0.0,93398.49286730388
2015-09-11,1,cautious,0.0032629950464816986,0.0,0.0,93703.25168687875
2015-09-14,1,cautious,-0.00031747250394477107,0.0,0.0,93673.50348093794
2015-09-15,3,defensive,-0.004819826995344657,0.0,0.0,93222.01340011202
2015-09-16,3,defensive,0.0036410435755596664,0.00019999999999999996,0.19999999999999996,93561.43881310323
2015-09-17,2,rebound,0.008728263298773475,0.0,0.0,94378.06768567608
2015-09-18,2,rebound,-0.002679606354591745,0.0006,0.6,94125.17161577145
2015-09-21,3,defensive,-0.0035509029539947056,0.0,0.0,93790.94226583575
2015-09-22,3,defensive,0.001710773772963059,0.0006,0.6,93951.39735000565
2015-09-23,3,defensive,0.0008358375656292604,0.0,0.0,94029.92545725414
2015-09-24,3,defensive,0.008977638912209063,0.0,0.0,94874.0921749513
2015-09-25,1,cautious,-0.006221043925359348,0.0,0.0,94283.87628015234
2015-09-28,2,rebound,-0.004681093582757787,0.00019999999999999996,0.19999999999999996,93842.5246319398
2015-09-29,2,rebound,-6.992068065294607e-05,0.0004,0.4,93835.96309874333
2015-09-30,1,cautious,0.0062140561173867894,0.0,0.0,94419.06503926795
2015-10-01,3,defensive,0.0017244825275602013,0.0004,0.4,94581.88906719674
2015-10-02,3,defensive,0.012168966732818087,0.00019999999999999996,0.19999999999999996,95732.85292878257
2015-10-05,3,defensive,-0.003830561115029196,0.0,0.0,95366.14238492276
2015-10-06,1,cautious,0.00447795608735031,0.0,0.0,95793.18778274243
2015-10-07,1,cautious,0.0004913501682538678,0.00019999999999999996,0.19999999999999996,95840.25578167706
2015-10-08,1,cautious,-0.002173480482418011,0.0,0.0,95631.94885630564
2015-10-09,1,cautious,0.005983858643767737,0.0,0.0,96204.19692008979
2015-10-12,3,defensive,0.004516065983031493,0.0,0.0,96638.66142122546
2015-10-13,3,defensive,0.0008739093100583517,0.00019999999999999996,0.19999999999999996,96723.11484715305
2015-10-14,3,defensive,0.008646324186049648,0.0,0.0,97559.41425440605
2015-10-15,3,defensive,-0.0007496102319542784,0.0,0.0,97486.28271925748
2015-10-16,3,defensive,-0.0010477893090996117,0.0,0.0,97384.13763444037
2015-10-19,3,defensive,-0.002526826802510251,0.0,0.0,97138.06478532632
2015-10-20,3,defensive,-0.0014288119195822071,0.0,0.0,96999.2727605159
2015-10-21,3,defensive,0.0010643238128097308,0.0,0.0,97102.51139634012
2015-10-22,3,defensive,0.00411777949991835,0.0,0.0,97502.35812715856
2015-10-23,3,defensive,-0.002583163229899221,0.0,0.0,97250.493620816
2015-10-26,3,defensive,0.0026476127624588067,0.0,0.0,97507.97526888191
2015-10-27,3,defensive,0.0015367584533870324,0.0,0.0,97657.82147414901
2015-10-28,3,defensive,-0.002153465010638722,0.0,0.0,97447.51877258923
2015-10-29,3,defensive,-0.01093986483237245,0.0,0.0,96381.45608896702
2015-10-30,3,defensive,0.0017645717733003941,0.0,0.0,96551.5280858512
2015-11-02,3,defensive,-0.0018806272453513405,0.0,0.0,96369.95065155264
2015-11-03,3,defensive,-0.007967974618020568,0.0,0.0,95602.07733082118
2015-11-04,3,defensive,-0.0028601900837257,0.0,0.0,95328.63721725598
2015-11-05,3,defensive,-0.002455002295942232,0.0,0.0,95094.60519401857
2015-11-06,3,defensive,-0.011806138361118303,0.0,0.0,93971.90512770208
2015-11-09,3,defensive,-0.0038171043839627886,0.0,0.0,93613.20455666978
2015-11-10,3,defensive,0.0013082621967824726,0.0,0.0,93735.67517331093
2015-11-11,3,defensive,-0.0028474320689465425,0.0,0.0,93468.76920581808
2015-11-12,3,defensive,-0.00032776002350085607,0.0,0.0,93438.13387982658
2015-11-13,3,defensive,-0.0002261254657250579,0.0,0.0,93417.00513828652
2015-11-16,3,defensive,0.003016032190361651,0.0,0.0,93698.75383291078
2015-11-17,3,defensive,-0.0032723678728955982,0.0,0.0,93392.1370411376
2015-11-18,3,defensive,0.004480882499956663,0.0,0.0,93810.6162336388
2015-11-19,3,defensive,0.00646972691106098,0.0,0.0,94417.54530202877
2015-11-20,3,defensive,-0.0021639188388258178,0.0,0.0,94213.23339703403
2015-11-23,3,defensive,-0.001108760279382148,0.0,0.0,94108.77350605124
2015-11-24,3,defensive,0.002221225021129369,0.0,0.0,94317.81026847067
2015-11-25,3,defensive,-0.00026854984386576186,0.0,0.0,94292.48123524932
2015-11-27,3,defensive,-0.0038088834358501857,0.0,0.0,93933.33216534716
2015-11-30,3,defensive,0.0031388243446623053,0.0,0.0,94228.17239512301
2015-12-01,3,defensive,0.0097203769379812,0.0,0.0,95144.10574898068
2015-12-02,3,defensive,-0.006541800883931581,0.0,0.0,94521.69195389112
2015-12-03,3,defensive,-0.013204312027376021,0.0,0.0,93273.59803997642
2015-12-04,3,defensive,0.014955591645393108,0.0,0.0,94668.55988355886
2015-12-07,3,defensive,-0.00025352946446195474,0.0,0.0,94644.5586142702
